순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
492,늑대소년-확장판,조성희,(주)영화사비단길,,씨제이이앤엠(주),2012/12/06,개봉영화,장편,한국,278,"2,868,302,500","414,083","767,129,500","105,940",멜로/로맨스,15세이상관람가,일반영화
493,극장판 공룡메카드: 타이니소어의 섬,"최신규,유재운",(주)초이락컨텐츠팩토리,,(주)넥스트엔터테인먼트월드(NEW),2019/01/10,개봉영화,장편,한국,763,"3,140,214,420","410,131","535,720,640","66,881",애니메이션,전체관람가,일반영화
494,넛잡 2,캘런 브런커,"(주)레드로버,툰박스 엔터테인먼트",,롯데쇼핑㈜롯데엔터테인먼트,2017/10/03,개봉영화,장편,한국,526,"3,038,945,100","407,727","513,530,500","66,475",애니메이션,전체관람가,일반영화
495,좋은 친구들,이도윤,"오퍼스픽쳐스(유),굿초이스컷픽쳐스(주)",,씨제이이앤엠(주),2014/07/10,개봉영화,장편,한국,371,"3,201,527,031","404,456","869,573,831","104,800",범죄,청소년관람불가,일반영화
496,전설의 고향,김지환,윈텍필름(주),,(주)프라임엔터테인먼트,2007/05/23,개봉영화,장편,한국,0,0,"402,117",0,"86,338",공포(호러),12세이상관람가,일반영화
497,사랑이 무서워,정우철,"(주)위픽쳐스,(주)디씨지플러스",,롯데쇼핑㈜롯데엔터테인먼트,2011/03/10,개봉영화,장편,한국,290,"2,992,783,000","397,923","706,539,500","88,089",코미디,15세이상관람가,일반영화
498,날아라 허동구,박규태,(주)타이거픽쳐스,,(주)쇼박스,2007/04/26,개봉영화,장편,한국,0,0,"396,811",0,"111,265",가족,전체관람가,일반영화
499,집행자,최진호,"활동사진,(주)스폰지이엔티,(주)발콘",,"(주)스폰지이엔티,실버스푼",2009/11/05,개봉영화,장편,한국,264,"2,961,477,652","395,865","828,353,500","105,438",드라마,청소년관람불가,독립/예술영화
500,멋진 하루,이윤기,"(주)스폰지이엔티,(주)영화사봄",,롯데쇼핑㈜롯데엔터테인먼트,2008/09/25,개봉영화,장편,한국,299,"2,554,838,451","390,741","1,174,680,667","168,110",드라마,12세이상관람가,독립/예술영화
501,내 심장을 쏴라,문제용,(주)주피터필름,,"(주)리틀빅픽쳐스,(주)이수C&E",2015/01/28,개봉영화,장편,한국,452,"2,856,859,132","387,409","602,511,932","79,237",드라마,15세이상관람가,일반영화
502,나의 독재자,이해준,반짝반짝영화사(주),,롯데쇼핑㈜롯데엔터테인먼트,2014/10/30,개봉영화,장편,한국,654,"2,906,692,546","385,934","882,787,046","111,369",드라마,15세이상관람가,일반영화
503,보통사람,김봉한,"(주)트리니티엔터테인먼트,(주)영화사장춘",,오퍼스픽쳐스(유),2017/03/23,개봉영화,장편,한국,621,"2,956,397,623","383,336","736,134,723","92,067",드라마,15세이상관람가,일반영화
504,소수의견,김성제,(주)하리마오픽쳐스,,(주)시네마서비스,2015/06/24,개봉영화,장편,한국,398,"2,891,431,205","383,332","998,799,305","128,825",드라마,15세이상관람가,일반영화
505,싸움,한지승,"(주)시네마서비스,상상필름(주)",,(주)시네마서비스,2007/12/12,개봉영화,장편,한국,0,0,"382,422",0,"121,487",멜로/로맨스,15세이상관람가,일반영화
506,대장 김창수,이원태,"(주)비에이엔터테인먼트,(주)무비스퀘어",,"씨네그루(주)키다리이엔티,주식회사 키위컴퍼니",2017/10/19,개봉영화,장편,한국,748,"2,871,905,115","380,581","740,794,715","93,920",드라마,12세이상관람가,일반영화
507,우리 동네,정길영,(주)오브젝트필름,,"씨제이엔터테인먼트,(주)시네마서비스",2007/11/29,개봉영화,장편,한국,0,N/A,"377,591",N/A,"115,407",스릴러,청소년관람불가,일반영화
508,쏜다,박정우,시오필름(주),,(주)쇼박스,2007/03/14,개봉영화,장편,한국,0,0,"365,684",0,"78,756",코미디,15세이상관람가,일반영화
509,경성학교: 사라진 소녀들,이해영,"청년필름(주),비밀의화원",,롯데쇼핑㈜롯데엔터테인먼트,2015/06/18,개봉영화,장편,한국,489,"2,749,027,700","356,342","726,924,400","90,270",미스터리,15세이상관람가,일반영화
510,석조저택 살인사건,"정식,김휘",주식회사 영화사다,,씨네그루(주)키다리이엔티,2017/05/09,개봉영화,장편,한국,539,"2,815,742,886","351,830","765,636,486","92,471",스릴러,15세이상관람가,일반영화
511,커플즈,정용기,"시오필름(주),(주)바른손이앤에이",,(주)싸이더스,2011/11/02,개봉영화,장편,한국,387,"2,646,578,500","351,779","891,317,000","112,135",멜로/로맨스,15세이상관람가,일반영화
512,싱글라이더,이주영,(주)퍼펙트스톰필름,,워너브러더스 코리아(주),2017/02/22,개봉영화,장편,한국,576,"2,685,519,021","351,276","945,782,821","119,087",드라마,15세이상관람가,일반영화
513,열한번째 엄마,김진성,"(주)씨스타픽쳐스,몽마루",,(주)쇼박스,2007/11/29,개봉영화,장편,한국,0,0,"350,204",0,"81,433",드라마,12세이상관람가,일반영화
514,7호실,이용승,(주)명필름,,롯데쇼핑㈜롯데엔터테인먼트,2017/11/15,개봉영화,장편,한국,629,"2,677,284,639","347,790","784,052,239","98,086",코미디,15세이상관람가,일반영화
515,치외법권,신동엽,"(주)유니프로,(주)스톰픽쳐스코리아",,판씨네마(주),2015/08/27,개봉영화,장편,한국,446,"2,664,941,005","346,483","586,388,005","72,126",액션,15세이상관람가,일반영화
516,러브 유어셀프 인 서울,,"빅히트 엔터테인먼트,씨제이 씨지브이(CJ CGV)(주)",,씨제이 씨지브이(CJ CGV)(주),2019/01/26,개봉영화,장편,한국,224,"3,209,682,900","342,366","1,090,468,000","112,697",공연,전체관람가,일반영화
517,하이힐,장진,(주)장차앤코,,롯데쇼핑㈜롯데엔터테인먼트,2014/06/03,개봉영화,장편,한국,385,"2,735,972,500","339,844","789,047,000","94,895",범죄,청소년관람불가,일반영화
518,음치 클리닉,김진영,(주)전망좋은 영화사,,롯데쇼핑㈜롯데엔터테인먼트,2012/11/29,개봉영화,장편,한국,360,"2,248,238,000","338,168","629,586,000","93,656",멜로/로맨스,12세이상관람가,일반영화
519,맨발의 꿈,김태균,"(주)캠프비,(주)쇼박스",,(주)쇼박스,2010/06/24,개봉영화,장편,한국,333,"2,413,427,097","338,080","739,154,500","99,528",드라마,전체관람가,일반영화
520,허스토리,민규동,(주)수필름,,(주)넥스트엔터테인먼트월드(NEW),2018/06/27,개봉영화,장편,한국,696,"2,521,025,949","336,822","774,252,049","101,169",드라마,12세이상관람가,일반영화
521,브링 더 소울 : 더 무비,박준수,"빅히트 엔터테인먼트,(주)캠프엔터테인먼트",,월트디즈니컴퍼니코리아 유한책임회사,2019/08/07,개봉영화,장편,한국,569,"2,902,500,310","336,074","952,482,010","102,179",기타,전체관람가,일반영화
522,미나문방구,정익환,(주)별의별,,롯데쇼핑㈜롯데엔터테인먼트,2013/05/16,개봉영화,장편,한국,385,"2,247,017,000","334,323","569,411,500","81,804",드라마,전체관람가,일반영화
523,남영동1985,정지영,(주)아우라픽처스,,"씨너스엔터테인먼트(주),(주)엣나인필름",2012/11/22,개봉영화,장편,한국,310,"2,358,629,601","332,619","806,220,589","110,659",드라마,15세이상관람가,독립/예술영화
524,무서운 이야기,"정범식,임대웅,홍지영,김곡,김선,민규동","(주)수필름,데이지엔터테인먼트",,롯데쇼핑㈜롯데엔터테인먼트,2012/07/25,개봉영화,옴니버스,한국,274,"2,452,368,566","331,760","677,799,507","87,835",공포(호러),청소년관람불가,일반영화
525,사랑하기 때문에,주지홍,(주)에이디사공육,,(주)넥스트엔터테인먼트월드(NEW),2017/01/04,개봉영화,장편,한국,542,"2,538,169,440","324,420","516,573,040","63,326",코미디,12세이상관람가,일반영화
526,희생부활자,곽경택,"(주)영화사 신세계,(주)바른손이앤에이",,(주)쇼박스,2017/10/12,개봉영화,장편,한국,781,"2,515,479,835","323,628","524,639,435","64,620",미스터리,15세이상관람가,일반영화
527,정승필 실종사건,강석범,화이트리시네마,,롯데쇼핑㈜롯데엔터테인먼트,2009/10/08,개봉영화,장편,한국,238,"2,321,588,076","322,459","552,275,500","72,009",코미디,15세이상관람가,일반영화
528,가면,양윤호,(주)디알엠엔터테인먼트,,롯데쇼핑㈜롯데엔터테인먼트,2007/12/27,개봉영화,장편,한국,0,0,"322,342","285,544,500","93,463",스릴러,청소년관람불가,일반영화
529,좋지 아니한가,정윤철,(주)무사이필름,,"(주)시네마서비스,씨제이엔터테인먼트",2007/03/01,개봉영화,장편,한국,0,0,"321,654",0,"90,130",드라마,15세이상관람가,일반영화
530,극적인 하룻밤,하기호,"(주)연우무대,(주)인사이드픽쳐스",,CGV아트하우스,2015/12/03,개봉영화,장편,한국,434,"2,610,929,429","320,923","778,081,829","92,279",멜로/로맨스,청소년관람불가,일반영화
531,도리화가,이종필,"(주)영화사 담담,(주)어바웃필름",,씨제이이앤엠(주),2015/11/25,개봉영화,장편,한국,563,"2,246,950,339","317,505","697,116,939","91,714",사극,12세이상관람가,일반영화
532,세상에서 가장 아름다운 이별,민규동,(주)수필름,,(주)넥스트엔터테인먼트월드(NEW),2011/04/20,개봉영화,장편,한국,340,"2,295,897,500","316,788","830,311,000","109,685",드라마,15세이상관람가,일반영화
533,레드카펫,박범수,"씨네주(유),(주)누리픽쳐스",,(주)프레인글로벌,2014/10/23,개봉영화,장편,한국,385,"2,404,458,580","316,780","602,676,380","75,397",멜로/로맨스,15세이상관람가,일반영화
534,스카우트,김현석,㈜두루미필름,,씨제이엔터테인먼트,2007/11/14,개봉영화,장편,한국,0,0,"315,187",0,"98,138",드라마,12세이상관람가,일반영화
535,번 더 스테이지: 더 무비,박준수,"빅히트 엔터테인먼트,(주)캠프엔터테인먼트",,월트디즈니컴퍼니코리아 유한책임회사,2018/11/15,개봉영화,장편,한국,243,"2,671,391,900","315,010","776,472,800","87,249",기타,전체관람가,일반영화
536,마이 블랙 미니드레스,허인무,(주)토리픽쳐스,,씨제이이앤엠(주),2011/03/24,개봉영화,장편,한국,325,"2,318,884,500","313,953","741,903,500","95,622",드라마,15세이상관람가,일반영화
537,헨젤과 그레텔,임필성,(주)바른손이앤에이,,씨제이엔터테인먼트,2007/12/27,개봉영화,장편,한국,0,0,"312,459","216,613,000","83,335",드라마,12세이상관람가,일반영화
538,위대한 소원,남대중,주식회사 브레인샤워,,(주)넥스트엔터테인먼트월드(NEW),2016/04/21,개봉영화,장편,한국,524,"2,438,260,213","308,180","557,547,213","67,347",코미디,15세이상관람가,일반영화
539,덕구,방수인,"(주)영화사두둥,(주)곰픽쳐스",,메가박스중앙(주)플러스엠,2018/04/05,개봉영화,장편,한국,544,"2,320,819,700","306,126","399,790,500","50,850",드라마,전체관람가,일반영화
540,개를 훔치는 완벽한 방법,김성호,(주)삼거리픽쳐스,,"(주)리틀빅픽쳐스,(주)대명문화공장",2014/12/31,개봉영화,장편,한국,205,"2,327,822,465","306,119","800,083,365","101,680",드라마,전체관람가,독립/예술영화
541,어깨 너머의 연인,이언희,"어뮤즈,(주)싸이더스",,(주)쇼박스,2007/10/18,개봉영화,장편,한국,0,0,"301,153",0,"105,717",드라마,청소년관람불가,일반영화
542,올드미스다이어리,김석윤,"(주)싸이더스,청년필름(주)",,롯데쇼핑㈜롯데엔터테인먼트,2006/12/21,개봉영화,장편,한국,0,0,"298,818",0,"107,320",코미디,12세이상관람가,일반영화
543,위험한 관계,허진호,,데이지엔터테인먼트,씨제이이앤엠(주),2012/10/11,개봉영화,장편,한국,334,"2,122,666,230","298,086","766,827,206","103,451",멜로/로맨스,청소년관람불가,일반영화
544,오래된 정원,임상수,(주)MBC씨앤아이,,롯데쇼핑㈜롯데엔터테인먼트,2007/01/04,개봉영화,장편,한국,0,0,"296,532",0,"62,904",드라마,12세관람가,독립/예술영화
545,미성년,김윤석,"(주)영화사레드피터,(주)화이브라더스코리아",,(주)쇼박스,2019/04/11,개봉영화,장편,한국,673,"2,493,769,950","293,258","856,799,740","98,387",드라마,15세이상관람가,일반영화
546,호우시절,허진호,판씨네마(주),,(주)넥스트엔터테인먼트월드(NEW),2009/10/08,개봉영화,장편,한국,334,"2,165,019,514","291,143","1,033,970,500","133,168",멜로/로맨스,15세이상관람가,일반영화
547,혼숨,이두환,(주)무비스퀘어,,(주)프레인글로벌,2016/10/26,개봉영화,장편,한국,498,"2,258,422,445","288,016","374,477,045","45,099",공포(호러),15세이상관람가,일반영화
548,배심원들,홍승완,반짝반짝영화사(주),,CGV아트하우스,2019/05/15,개봉영화,장편,한국,784,"2,301,748,090","287,897","724,211,930","86,835",드라마,12세이상관람가,일반영화
549,1724 기방난동사건,여균동,(주)싸이더스,,(주)싸이더스,2008/12/03,개봉영화,장편,한국,337,"1,886,195,121","286,657","570,796,000","82,806",사극,15세이상관람가,일반영화
550,기방도령,남대중,"주식회사 브레인샤워,(주)제이와이피픽쳐스",,판씨네마(주),2019/07/10,개봉영화,장편,한국,625,"2,320,140,190","285,942","540,718,070","64,922",코미디,15세이상관람가,일반영화
551,눈부신 날에,박광수,(주)아이필름홀딩스,,(주)시네마서비스,2007/04/19,개봉영화,장편,한국,0,0,"285,825",0,"70,857",드라마,15세이상관람가,일반영화
