영화명,감독,배급사,개봉일,국적,전국 매출액,장르,등급,배우
감시자들,"조의석,김병서",(주)넥스트엔터테인먼트월드(NEW),2013/07/03,한국,"39,298,005,179",범죄,15세이상관람가,0
검은 사제들,장재현,씨제이이앤엠(주),2015/11/05,한국,"42,395,347,092",미스터리,15세이상관람가,김윤석
안시성,김광식,(주)넥스트엔터테인먼트월드(NEW),2018/09/19,한국,"46,335,334,026",사극,12세이상관람가,조인성
더 킹,한재림,(주)넥스트엔터테인먼트월드(NEW),2017/01/18,한국,"43,486,078,535",범죄,15세이상관람가,조인성
완득이,이한,씨제이이앤엠(주),2011/10/20,한국,"38,530,503,500",드라마,12세이상관람가,김윤석
완벽한 타인,이재규,롯데컬처웍스(주)롯데엔터테인먼트,2018/10/31,한국,"44,356,752,474",드라마,15세이상관람가,유해진
타워,김지훈,씨제이이앤엠(주),2012/12/25,한국,"37,654,858,000",드라마,12세이상관람가,설경구
추격자,나홍진,(주)쇼박스,2008/02/14,한국,"33,943,278,500",범죄,청소년관람불가,김윤석
독전,이해영,(주)넥스트엔터테인먼트월드(NEW),2018/05/22,한국,"43,484,892,913",범죄,15세이상관람가,조진웅
공작,윤종빈,씨제이이앤엠(주),2018/08/08,한국,"42,759,410,176",드라마,12세이상관람가,황정민
바람과 함께 사라지다,김주호,(주)넥스트엔터테인먼트월드(NEW),2012/08/08,한국,"34,524,377,161",코미디,12세이상관람가,차태현
"님아, 그 강을 건너지 마오",진모영,"CGV아트하우스,(주)대명문화공장",2014/11/27,한국,"37,354,452,679",다큐멘터리,전체관람가,조병만
조선명탐정 : 각시투구꽃의 비밀,김석윤,(주)쇼박스,2011/01/27,한국,"35,841,769,500",코미디,12세이상관람가,김명민
군도: 민란의 시대,윤종빈,(주)쇼박스,2014/07/23,한국,"36,987,755,999",사극,15세이상관람가,하정우
범죄와의 전쟁: 나쁜놈들 전성시대,윤종빈,(주)쇼박스,2012/02/02,한국,"36,479,147,500",범죄,청소년관람불가,최민식
신세계,박훈정,(주)넥스트엔터테인먼트월드(NEW),2013/02/21,한국,"34,881,330,905",범죄,청소년관람불가,이정재
봉오동 전투,원신연,(주)쇼박스,2019/08/07,한국,"39,646,596,178",사극,15세이상관람가,0
도가니,황동혁,씨제이이앤엠(주),2011/09/22,한국,"35,566,854,800",드라마,청소년관람불가,공유
내 아내의 모든 것,민규동,(주)넥스트엔터테인먼트월드(NEW),2012/05/17,한국,"34,222,160,500",코미디,15세이상관람가,임수정
판도라,박정우,(주)넥스트엔터테인먼트월드(NEW),2016/12/07,한국,"35,965,733,064",드라마,12세이상관람가,김남길
연가시,박정우,씨제이이앤엠(주),2012/07/05,한국,"32,154,766,664",공포(호러),15세이상관람가,김명민
강철비,양우석,(주)넥스트엔터테인먼트월드(NEW),2017/12/14,한국,"35,477,912,466",액션,15세이상관람가,정우성
강철중: 공공의 적 1-1,강우석,"씨제이엔터테인먼트,(주)시네마서비스",2008/06/19,한국,"28,465,757,767",드라마,15세이상관람가,설경구
아가씨,박찬욱,씨제이이앤엠(주),2016/06/01,한국,"35,114,332,791",스릴러,청소년관람불가,김민희
용의자,원신연,(주)쇼박스,2013/12/24,한국,"30,037,161,000",액션,15세이상관람가,공유
