영화명,감독,배급사,개봉일,국적,전국 매출액,장르,등급,배우
스카우트,김현석,씨제이엔터테인먼트,2007/11/14,한국,0,드라마,12세이상관람가,임창정
번 더 스테이지: 더 무비,박준수,월트디즈니컴퍼니코리아 유한책임회사,2018/11/15,한국,"2,671,391,900",기타,전체관람가,RM
마이 블랙 미니드레스,허인무,씨제이이앤엠(주),2011/03/24,한국,"2,318,884,500",드라마,15세이상관람가,윤은혜
헨젤과 그레텔,임필성,씨제이엔터테인먼트,2007/12/27,한국,0,드라마,12세이상관람가,천정명
위대한 소원,남대중,(주)넥스트엔터테인먼트월드(NEW),2016/04/21,한국,"2,438,260,213",코미디,15세이상관람가,류덕환
덕구,방수인,메가박스중앙(주)플러스엠,2018/04/05,한국,"2,320,819,700",드라마,전체관람가,이순재
개를 훔치는 완벽한 방법,김성호,"(주)리틀빅픽쳐스,(주)대명문화공장",2014/12/31,한국,"2,327,822,465",드라마,전체관람가,이레
어깨 너머의 연인,이언희,(주)쇼박스,2007/10/18,한국,0,드라마,청소년관람불가,이미연
올드미스다이어리,김석윤,롯데쇼핑㈜롯데엔터테인먼트,2006/12/21,한국,0,코미디,12세이상관람가,0
위험한 관계,허진호,씨제이이앤엠(주),2012/10/11,한국,"2,122,666,230",멜로/로맨스,청소년관람불가,장동건
오래된 정원,임상수,롯데쇼핑㈜롯데엔터테인먼트,2007/01/04,한국,0,드라마,12세관람가,염정아
미성년,김윤석,(주)쇼박스,2019/04/11,한국,"2,493,769,950",드라마,15세이상관람가,염정아
호우시절,허진호,(주)넥스트엔터테인먼트월드(NEW),2009/10/08,한국,"2,165,019,514",멜로/로맨스,15세이상관람가,정우성
혼숨,이두환,(주)프레인글로벌,2016/10/26,한국,"2,258,422,445",공포(호러),15세이상관람가,류덕환
배심원들,홍승완,CGV아트하우스,2019/05/15,한국,"2,301,748,090",드라마,12세이상관람가,문소리
1724 기방난동사건,여균동,(주)싸이더스,2008/12/03,한국,"1,886,195,121",사극,15세이상관람가,이정재
기방도령,남대중,판씨네마(주),2019/07/10,한국,"2,320,140,190",코미디,15세이상관람가,준호
눈부신 날에,박광수,(주)시네마서비스,2007/04/19,한국,0,드라마,15세이상관람가,박신양
네버엔딩 스토리,정용주,(주)화앤담이엔티,2012/01/18,한국,"2,106,823,000",코미디,15세이상관람가,엄태웅
다이노 타임,"최윤석,존 카프카",씨제이이앤엠(주),2015/04/30,한국,"2,099,683,100",애니메이션,전체관람가,0
극장판 안녕 자두야,손석우,씨제이이앤엠(주),2016/05/04,한국,"2,124,832,300",애니메이션,전체관람가,여민정
마지막 선물,김영준,(주)쇼박스,2008/02/05,한국,"1,748,517,833",드라마,15세이상관람가,신현준
가루지기,신한솔,(주)쇼박스,2008/04/30,한국,"1,777,787,000",드라마,청소년관람불가,봉태규
요가학원,윤재연,(주)싸이더스,2009/08/20,한국,"1,947,834,107",공포(호러),15세이상관람가,유진
가비,장윤현,(주)시네마서비스,2012/03/15,한국,"1,969,360,500",드라마,15세이상관람가,주진모
롤러코스터,하정우,씨제이이앤엠(주),2013/10/17,한국,"1,913,087,600",코미디,15세이상관람가,정경호
마이 뉴 파트너,김종현,(주)엠플러스픽쳐스,2008/03/06,한국,"1,696,902,333",액션,15세이상관람가,안성기
악질경찰,이정범,워너브러더스 코리아(주),2019/03/20,한국,"2,256,615,278",범죄,청소년관람불가,이선균
공범자들,최승호,(주)엣나인필름,2017/08/17,한국,"2,017,678,800",다큐멘터리,15세이상관람가,이명박
함정,권형진,(주)인벤트스톤,2015/09/10,한국,"2,088,685,200",스릴러,청소년관람불가,마동석
기묘한 가족,이민재,메가박스중앙(주)플러스엠,2019/02/13,한국,"2,062,904,275",코미디,12세이상관람가,정재영
밤의 여왕,김제영,(주)인벤트스톤,2013/10/17,한국,"1,762,892,500",멜로/로맨스,15세이상관람가,김민정
불신지옥,이용주,(주)쇼박스,2009/08/12,한국,"1,818,156,353",미스터리,15세이상관람가,남상미
비밀은 없다,이경미,씨제이이앤엠(주),2016/06/23,한국,"2,027,801,239",스릴러,청소년관람불가,손예진
걸스카우트,김상만,롯데쇼핑㈜롯데엔터테인먼트,2008/06/05,한국,"1,534,585,000",드라마,15세이상관람가,김선아
소셜포비아,홍석재,CGV아트하우스,2015/03/12,한국,"1,950,635,763",스릴러,15세이상관람가,변요한
적과의 동침,박건용,(주)쇼박스,2011/04/27,한국,"1,740,340,000",드라마,12세이상관람가,김주혁
두 사람이다,오기환,"영화사청어람(주),(주)엠엔에프씨",2007/08/22,한국,0,공포(호러),청소년관람불가,윤진서
미옥,이안규,씨네그루(주)키다리이엔티,2017/11/09,한국,"1,897,705,564",범죄,청소년관람불가,김혜수
마강호텔,최성철,(주)쇼박스,2007/02/22,한국,0,코미디,15세이상관람가,김석훈
강철대오:구국의 철가방,육상효,롯데쇼핑㈜롯데엔터테인먼트,2012/10/25,한국,"1,614,867,156",코미디,15세이상관람가,김인권
어느날,이윤기,"오퍼스픽쳐스(유),CGV아트하우스",2017/04/05,한국,"1,827,370,582",멜로/로맨스,15세이상관람가,김남길
인플루언스,이재규,,2010/08/19,한국,"1,529,006",드라마,15세이상관람가,이병헌
폐가,이철하,(주)시너지하우스 (시너지),2010/08/19,한국,"1,611,889,133",공포(호러),15세이상관람가,신경선
순정,이은희,(주)리틀빅픽쳐스,2016/02/24,한국,"1,643,792,033",드라마,12세이상관람가,디오
치즈인더트랩,김제영,(주)리틀빅픽쳐스,2018/03/14,한국,"1,890,873,700",멜로/로맨스,15세이상관람가,박해진
분노의 윤리학,박명랑,롯데쇼핑㈜롯데엔터테인먼트,2013/02/21,한국,"1,654,554,000",스릴러,청소년관람불가,이제훈
한공주,이수진,CGV아트하우스,2014/04/17,한국,"1,780,640,800",드라마,청소년관람불가,천우희
마마,최익환,롯데쇼핑㈜롯데엔터테인먼트,2011/06/01,한국,"1,533,830,500",드라마,12세이상관람가,엄정화
시,이창동,(주)넥스트엔터테인먼트월드(NEW),2010/05/13,한국,"1,567,857,053",드라마,15세이상관람가,윤정희
우리 집에 왜 왔니,황수아,롯데쇼핑㈜롯데엔터테인먼트,2009/04/09,한국,"1,427,488,305",드라마,15세이상관람가,박희순
수,최양일,(주)시네마서비스,2007/03/22,한국,0,액션,청소년관람불가,지진희
1급기밀,홍기선,(주)리틀빅픽쳐스,2018/01/24,한국,"1,720,083,300",드라마,12세이상관람가,김상경
나는 공무원이다,구자홍,(주)넥스트엔터테인먼트월드(NEW),2012/07/12,한국,"1,535,913,500",코미디,전체관람가,윤제문
속닥속닥,최상훈,(주)그노스,2018/07/13,한국,"1,900,914,300",공포(호러),15세이상관람가,소주연
라듸오 데이즈,하기호,(주)싸이더스,2008/01/31,한국,"1,405,676,000",코미디,12세이상관람가,류승범
"대한이, 민국씨",최진원,롯데쇼핑㈜롯데엔터테인먼트,2008/02/14,한국,"1,192,710,500",코미디,15세이상관람가,최성국
연애의 맛,김아론,"(주)와우픽쳐스,(주)쇼박스",2015/05/07,한국,"1,706,805,153",멜로/로맨스,청소년관람불가,오지호
자칼이 온다,배형준,롯데쇼핑㈜롯데엔터테인먼트,2012/11/15,한국,"1,430,079,500",코미디,15세이상관람가,송지효
덕수리 5형제,전형준,롯데쇼핑㈜롯데엔터테인먼트,2014/12/04,한국,"1,560,183,200",코미디,15세이상관람가,윤상현
코알라 키드 : 영웅의 탄생,이경호,롯데쇼핑㈜롯데엔터테인먼트,2012/01/12,한국,"1,434,535,500",애니메이션,전체관람가,태민
남과 여,이윤기,(주)쇼박스,2016/02/25,한국,"1,651,122,533",멜로/로맨스,청소년관람불가,전도연
비스트,이정호,(주)넥스트엔터테인먼트월드(NEW),2019/06/26,한국,"1,596,148,590",범죄,15세이상관람가,이성민
페스티발,이해영,(주)시너지하우스 (시너지),2010/11/18,한국,"1,541,834,737",코미디,청소년관람불가,신하균
도레미파솔라시도,강건향,(주)시네마서비스,2008/04/03,한국,"1,182,401,000",드라마,12세이상관람가,장근석
어린 의뢰인,장규성,롯데컬처웍스(주)롯데엔터테인먼트,2019/05/22,한국,"1,631,919,600",드라마,12세이상관람가,이동휘
중천,조동오,씨제이엔터테인먼트,2006/12/21,한국,0,액션,12세이상관람가,정우성
언니,임경택,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",2019/01/01,한국,"1,746,373,250",액션,청소년관람불가,이시영
"안녕, 티라노: 영원히, 함께",시즈노 코분,(주)넥스트엔터테인먼트월드(NEW),2019/08/14,한국,"1,511,922,090",애니메이션,전체관람가,시영준
투혼,김상진,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",2011/10/06,한국,"1,336,010,500",드라마,전체관람가,김주혁
"무현, 두 도시 이야기",전인환,(주)모멘텀엔터테인먼트,2016/10/26,한국,"1,517,735,100",다큐멘터리,15세이상관람가,노<b>무현</b>
언더독,"오성윤,이춘백",(주)넥스트엔터테인먼트월드(NEW),2019/01/16,한국,"1,485,934,830",애니메이션,전체관람가,0
죽어도 해피엔딩,강경훈,(주)프라임엔터테인먼트,2007/08/22,한국,0,코미디,15세이상관람가,예지원
응징자,신동엽,(주)인벤트스톤,2013/10/30,한국,"1,388,412,500",액션,청소년관람불가,양동근
글로리데이,최정열,(주)엣나인필름,2016/03/24,한국,"1,484,010,868",드라마,15세이상관람가,지수
런닝맨 : 풀룰루의 역습,윤준상,(주)넥스트엔터테인먼트월드(NEW),2018/12/05,한국,"1,414,494,750",애니메이션,전체관람가,김서영
우상,이수진,CGV아트하우스,2019/03/20,한국,"1,581,839,728",스릴러,15세이상관람가,한석규
마이 리틀 히어로,김성훈,씨제이이앤엠(주),2013/01/09,한국,"1,286,203,128",드라마,전체관람가,김래원
므이,김태경,씨제이엔터테인먼트,2007/07/25,한국,0,공포(호러),15세이상관람가,조안
뷰티풀 선데이,진광교,(주)쇼박스,2007/03/29,한국,0,스릴러,청소년관람불가,박용우
아빠가 여자를 좋아해,이광재,(주)쇼박스,2010/01/14,한국,"1,264,356,155",멜로/로맨스,12세이상관람가,이나영
채비,조영준,오퍼스픽쳐스(유),2017/11/09,한국,"1,249,977,864",드라마,12세이상관람가,고두심
톱스타,박중훈,롯데쇼핑㈜롯데엔터테인먼트,2013/10/24,한국,"1,194,180,500",드라마,15세이상관람가,엄태웅
언니가 간다,김창래,(주)시네마서비스,2007/01/04,한국,0,코미디,12세이상관람가,고소영
아빠를 빌려드립니다,김덕수,"메가박스중앙(주)플러스엠,(주)레드로버",2014/11/20,한국,"1,188,673,500",코미디,12세이상관람가,김상경
자전차왕 엄복동,김유성,(주)셀트리온엔터테인먼트,2019/02/27,한국,"1,304,861,670",드라마,12세이상관람가,비
그랑프리,양윤호,(주)싸이더스,2010/09/16,한국,"1,241,827,441",드라마,12세이상관람가,김태희
대배우,석민우,"(주)대명문화공장,(주)리틀빅픽쳐스",2016/03/30,한국,"1,245,426,228",코미디,12세이상관람가,오달수
노리개,최승호,(주)인벤트스톤,2013/04/18,한국,"1,229,574,500",드라마,청소년관람불가,마동석
나는 아빠다,"전만배,이세영",롯데쇼핑㈜롯데엔터테인먼트,2011/04/14,한국,"1,246,420,500",액션,청소년관람불가,0
진범,고정욱,(주)리틀빅픽쳐스,2019/07/10,한국,"1,424,601,000",스릴러,15세이상관람가,송새벽
비밀애,"류훈,권지연",(주)시너지하우스 (시너지),2010/03/25,한국,"1,227,023,002",멜로/로맨스,청소년관람불가,0
김복남 살인사건의 전말,장철수,(주)스폰지이엔티,2010/09/02,한국,"1,272,487,471",스릴러,청소년관람불가,서영희
무법자,김철한,(주)넥스트엔터테인먼트월드(NEW),2010/03/18,한국,"1,241,201,107",드라마,청소년관람불가,감우성
부산,박지원,(주)싸이더스,2009/10/15,한국,"1,185,994,280",액션,청소년관람불가,김영호
회복,김종철,(주)스폰지이엔티,2010/01/14,한국,"1,128,545,852",다큐멘터리,12세이상관람가,박지윤
최강전사 미니특공대 : 새로운 악당의 습격,이영준,에이원엔터테인먼트,2015/02/05,한국,"1,163,431,200",애니메이션,전체관람가,엄상현
달빛궁궐,김현주,(주)넥스트엔터테인먼트월드(NEW),2016/09/07,한국,"1,134,639,700",애니메이션,전체관람가,이하늬
로맨틱 아일랜드,강철우,실버스푼,2008/12/24,한국,"1,002,069,212",멜로/로맨스,15세이상관람가,이선균
비정규직 특수요원,김덕수,"(주)이수C&E,(주)스톰픽쳐스코리아",2017/03/16,한국,"1,150,732,700",코미디,15세이상관람가,강예원
워킹걸,정범식,메가박스중앙(주)플러스엠,2015/01/07,한국,"1,183,887,479",코미디,청소년관람불가,조여정
서울역,연상호,(주)넥스트엔터테인먼트월드(NEW),2016/08/17,한국,"1,157,200,562",애니메이션,15세이상관람가,류승룡
웨딩드레스,권형진,(주)싸이더스,2010/01/14,한국,"1,014,636,235",드라마,전체관람가,송윤아
천년학,임권택,(주)프라임엔터테인먼트,2007/04/12,한국,0,드라마,12세이상관람가,조재현
펜트하우스 코끼리,정승구,(주)시너지하우스 (시너지),2009/11/05,한국,"1,087,284,273",드라마,청소년관람불가,장혁
지슬 - 끝나지 않은 세월2,오멸,(주)영화사 진진,2013/03/21,한국,"984,416,100",드라마,15세이상관람가,0
은밀한 유혹,윤재구,씨제이이앤엠(주),2015/06/04,한국,"1,112,423,247",멜로/로맨스,15세이상관람가,임수정
키친,홍지영,실버스푼,2009/02/05,한국,"939,320,372",멜로/로맨스,15세이상관람가,신민아
가시,김태균,(주)인벤트스톤,2014/04/10,한국,"1,094,017,000",멜로/로맨스,청소년관람불가,장혁
극장판 또봇: 로봇군단의 습격,"이달,고동우",씨제이이앤엠(주),2017/04/27,한국,"1,089,135,300",애니메이션,전체관람가,0
나를 기억해,이한욱,씨네그루(주)키다리이엔티,2018/04/19,한국,"1,227,953,892",미스터리,청소년관람불가,이유영
화장,임권택,(주)리틀빅픽쳐스,2015/04/09,한국,"1,059,405,100",드라마,청소년관람불가,안성기
독전: 익스텐디드 컷,이해영,(주)넥스트엔터테인먼트월드(NEW),2018/07/18,한국,"844,714,600",범죄,15세이상관람가,0
0.0MHz,유선동,(주)스마일이엔티,2019/05/29,한국,"1,088,258,860",공포(호러),15세이상관람가,정은지
극장판 꼬마버스 타요의 에이스 구출작전,류정우,(주)아이코닉스,2016/01/21,한국,"906,299,900",애니메이션,전체관람가,문남숙
빼꼼의 머그잔 여행,임아론,"(합)알지애니메이션스튜디오,씨제이 씨지브이(CJ CGV)(주)",2007/03/22,한국,0,드라마,전체관람가,김태균
로마의 휴일,이덕희,메가박스중앙(주)플러스엠,2017/08/30,한국,"993,321,176",코미디,15세이상관람가,임창정
나의 절친 악당들,임상수,이십세기폭스코리아(주),2015/06/25,한국,"1,054,470,664",범죄,청소년관람불가,류승범
죽이고 싶은,"김상화,조원희",롯데쇼핑㈜롯데엔터테인먼트,2010/08/26,한국,"990,122,522",스릴러,청소년관람불가,0
파주,박찬옥,(주)엠케이픽처스,2009/10/28,한국,"978,601,985",드라마,청소년관람불가,이선균
오늘,이정향,롯데쇼핑㈜롯데엔터테인먼트,2011/10/27,한국,"712,814,000",드라마,15세이상관람가,송혜교
두 여자,정윤수,씨제이엔터테인먼트,2010/11/18,한국,"981,545,863",멜로/로맨스,청소년관람불가,신은경
자백,최승호,(주)엣나인필름,2016/10/13,한국,"1,034,815,200",다큐멘터리,15세이상관람가,<b>최승호</b>
맨홀,신재영,롯데쇼핑㈜롯데엔터테인먼트,2014/10/08,한국,"1,053,876,130",공포(호러),청소년관람불가,정경호
구세주 2,황승재,씨제이엔터테인먼트,2009/02/26,한국,"838,666,517",코미디,15세이상관람가,최성국
눈길,이나정,"(주)엣나인필름,CGV아트하우스",2017/03/01,한국,"947,059,100",드라마,15세이상관람가,김영옥
저수지 게임,최진성,(주)스마일이엔티,2017/09/07,한국,"984,605,100",다큐멘터리,15세이상관람가,주진우
시간위의 집,임대웅,"(주)리틀빅픽쳐스,(주)페퍼민트앤컴퍼니",2017/04/05,한국,"987,958,600",미스터리,15세이상관람가,김윤진
마을금고 연쇄습격사건,박상준,(주)쇼박스,2007/11/14,한국,0,코미디,15세이상관람가,백윤식
마법천자문: 대마왕의 부활을 막아라,윤영기,씨제이엔터테인먼트,2010/08/19,한국,"800,649,684",애니메이션,전체관람가,0
똥파리,양익준,(주)영화사 진진,2009/04/16,한국,"844,521,819",드라마,청소년관람불가,<b>양익준</b>
"서서평, 천천히 평온하게","홍주연,홍현정",커넥트픽쳐스(주),2017/04/26,한국,"875,685,400",다큐멘터리,전체관람가,0
퇴마: 무녀굴,김휘,씨네그루(주)다우기술,2015/08/20,한국,"951,843,500",공포(호러),15세이상관람가,김성균
죽여주는 여자,이재용,CGV아트하우스,2016/10/06,한국,"872,397,300",드라마,청소년관람불가,윤여정
나는 갈매기,권상준,롯데쇼핑㈜롯데엔터테인먼트,2009/09/26,한국,"711,793,733",다큐멘터리,전체관람가,이대호
어머니는 죽지 않는다,하명중,롯데쇼핑㈜롯데엔터테인먼트,2007/09/12,한국,0,가족,12세이상관람가,한혜숙
여교사,김태용,필라멘트픽쳐스,2017/01/04,한국,"947,192,460",드라마,청소년관람불가,김하늘
최강전사 미니특공대: 영웅의 탄생,이영준,(주)삼지애니메이션,2016/02/04,한국,"866,704,200",애니메이션,전체관람가,0
배우는 배우다,신연식,(주)넥스트엔터테인먼트월드(NEW),2013/10/24,한국,"811,031,000",드라마,청소년관람불가,이준
꽃미남 연쇄 테러 사건,이권,"영화사청어람(주),(주)엠엔에프씨",2007/07/26,한국,0,코미디,12세이상관람가,성민
걸프렌즈,강석범,(주)넥스트엔터테인먼트월드(NEW),2009/12/17,한국,"787,235,297",멜로/로맨스,15세이상관람가,강혜정
히트,이성한,(주)넥스트엔터테인먼트월드(NEW),2011/10/13,한국,"771,023,500",드라마,15세이상관람가,한재석
도희야,정주리,CGV아트하우스,2014/05/22,한국,"830,948,100",드라마,청소년관람불가,배두나
아마존의 눈물,"김진만,김현철",주식회사 마운틴픽쳐스,2010/03/25,한국,"658,632,935",다큐멘터리,15세이상관람가,0
허밍,박대영,롯데쇼핑㈜롯데엔터테인먼트,2008/03/13,한국,"640,923,000",멜로/로맨스,12세이상관람가,이천희
5백만불의 사나이,김익로,씨제이이앤엠(주),2012/07/19,한국,"739,789,500",코미디,15세이상관람가,박진영
꿈은 이루어진다,계윤식,씨제이엔터테인먼트,2010/05/27,한국,"730,581,233",코미디,15세이상관람가,이성재
교회오빠,이호경,커넥트픽쳐스(주),2019/05/16,한국,"822,660,710",다큐멘터리,전체관람가,이관희
더 테이블,김종관,(주)엣나인필름,2017/08/24,한국,"830,762,100",드라마,12세이상관람가,정유미
크게 될 놈,강지은,(주)영화사오원,2019/04/18,한국,"780,915,420",드라마,15세이상관람가,김해숙
루시드 드림,김준성,(주)넥스트엔터테인먼트월드(NEW),2017/02/22,한국,"759,481,000",SF,15세이상관람가,고수
바람,이성한,(주)싸이더스,2009/11/26,한국,"726,321,610",드라마,청소년관람불가,정우
게이트,신재호,(주)제이앤씨미디어그룹,2018/02/28,한국,"820,756,100",범죄,15세이상관람가,정려원
돌연변이,권오광,필라멘트픽쳐스,2015/10/22,한국,"748,936,684",드라마,12세이상관람가,이광수
미니특공대X,이영준,(주)삼지애니메이션,2018/03/22,한국,"744,858,200",애니메이션,전체관람가,엄상현
암전,김진원,TCO(주)더콘텐츠온,2019/08/15,한국,"878,209,215",미스터리,15세이상관람가,서예지
김광석,이상호,(주)비엠컬쳐스,2017/08/30,한국,"772,483,500",다큐멘터리,15세이상관람가,<b>김광석</b>
여중생A,이경섭,롯데컬처웍스(주)롯데엔터테인먼트,2018/06/20,한국,"811,686,000",드라마,12세이상관람가,김환희
인류멸망 보고서,김지운,"롯데쇼핑㈜롯데엔터테인먼트,타임스토리그룹(주)",2012/04/11,한국,"702,418,000",SF,15세이상관람가,류승범
소명,신현원,(주)영화사구안,2009/04/02,한국,"609,575,196",다큐멘터리,전체관람가,강명관
슈퍼 빼꼼: 스파이 대작전,임아론,메가박스중앙(주)플러스엠,2017/05/03,한국,"691,794,900",애니메이션,전체관람가,김태균
나탈리,주경중,롯데쇼핑㈜롯데엔터테인먼트,2010/10/28,한국,"1,131,832,453",멜로/로맨스,청소년관람불가,이성재
천국의 우편배달부,이형민,씨제이엔터테인먼트,2009/11/12,한국,"644,989,646",멜로/로맨스,전체관람가,김재중
577 프로젝트,이근우,필라멘트픽쳐스,2012/08/30,한국,"695,765,500",코미디,15세이상관람가,공효진
기생령,고석진,롯데쇼핑㈜롯데엔터테인먼트,2011/08/05,한국,"746,326,000",공포(호러),청소년관람불가,한은정
걷기왕,백승화,CGV아트하우스,2016/10/20,한국,"710,905,075",드라마,12세이상관람가,심은경
무서운 이야기 3 : 화성에서 온 소녀,"백승빈,김선,김곡,민규동",롯데쇼핑㈜롯데엔터테인먼트,2016/06/01,한국,"764,967,500",공포(호러),15세이상관람가,0
소년은 울지 않는다,배형준,㈜스튜디오이쩜영,2008/11/06,한국,"599,069,000",액션,15세이상관람가,이완
일사각오,"권혁만,고문안",파이오니아21,2016/03/17,한국,"682,581,500",드라마,12세이상관람가,0
철가방 우수氏,윤학렬,씨제이이앤엠(주),2012/11/22,한국,"604,032,500",드라마,12세이상관람가,최수종
그 남자의 책 198쪽,김정권,(주)성원아이컴,2008/10/23,한국,"575,174,333",멜로/로맨스,12세이상관람가,이동욱
써니 감독판,강형철,씨제이이앤엠(주),2011/07/28,한국,"698,549,500",드라마,청소년관람불가,0
완벽한 파트너,박헌수,타임스토리그룹(주),2011/11/17,한국,"676,141,000",코미디,청소년관람불가,김영호
살인자,이기욱,(주)영화사 빅,2014/01/15,한국,"656,849,000",스릴러,청소년관람불가,마동석
그대 이름은 장미,조석현,(주)리틀빅픽쳐스,2019/01/16,한국,"735,782,970",코미디,12세이상관람가,유호정
비몽,김기덕,(주)스폰지이엔티,2008/10/09,한국,"585,055,618",드라마,청소년관람불가,오다기리 죠
슈퍼 프렌즈,"이경호,이원재",씨네그루(주)키다리이엔티,2016/08/10,한국,"633,274,600",애니메이션,전체관람가,0
어린 왕자,최종현,롯데쇼핑㈜롯데엔터테인먼트,2008/01/17,한국,"493,292,500",드라마,12세이상관람가,탁재훈
다이노X 탐험대,이동희,(주)이수C&E,2016/05/04,한국,"634,339,900",애니메이션,전체관람가,정준하
출국,노규엽,,2018/11/14,한국,"639,521,850",드라마,15세이상관람가,이범수
터널 3D,박규택,(주)박수엔터테인먼트,2014/08/20,한국,"620,874,000",공포(호러),15세이상관람가,정유미
최악의 하루,김종관,CGV아트하우스,2016/08/25,한국,"639,959,190",멜로/로맨스,15세이상관람가,한예리
지금은맞고그때는틀리다,홍상수,"(주)영화제작전원사 ,(주)넥스트엔터테인먼트월드(NEW)",2015/09/24,한국,"664,112,100",드라마,청소년관람불가,정재영
두 번째 사랑,김진아,(주)프라임엔터테인먼트,2007/06/21,한국,0,드라마,청소년관람불가,베라 파미가
쓰리 썸머 나잇,김상진,"(주)리틀빅픽쳐스,(주)인벤트스톤",2015/07/15,한국,"616,132,846",코미디,청소년관람불가,김동욱
참을 수 없는,권칠인,(주)시너지하우스 (시너지),2010/10/21,한국,"575,770,952",멜로/로맨스,청소년관람불가,추자현
"어쩌다, 결혼","박호찬,박수진",CGV아트하우스,2019/02/27,한국,"586,584,249",멜로/로맨스,12세이상관람가,0
엽기적인 그녀 2,조근식,(주)리틀빅픽쳐스,2016/05/12,한국,"588,233,900",멜로/로맨스,15세이상관람가,차태현
김복동,송원근,(주)엣나인필름,2019/08/08,한국,"623,403,300",다큐멘터리,12세이상관람가,<b>김복동</b>
회초리,박광우,롯데쇼핑㈜롯데엔터테인먼트,2011/05/19,한국,"479,093,000",드라마,12세이상관람가,안내상
외톨이,박재식,(주)성원아이컴,2008/09/18,한국,"474,493,500",공포(호러),15세이상관람가,정유석
로맨틱 헤븐,장진,(주)시네마서비스,2011/03/24,한국,"542,739,500",드라마,12세이상관람가,김수로
두 개의 문,"김일란,홍지유",(주)시네마달,2012/06/21,한국,"503,138,000",다큐멘터리,15세이상관람가,0
브라보 마이 라이프,박영훈,(주)쇼박스,2007/09/06,한국,0,드라마,12세이상관람가,백윤식
로망,이창근,(주)메리크리스마스,2019/04/03,한국,"527,390,400",멜로/로맨스,전체관람가,이순재
정글히어로,"박태동,마우리시오 드 라 오르타",씨제이이앤엠(주),2014/10/02,한국,"506,194,300",애니메이션,전체관람가,0
번개맨,조근현,씨네그루(주)키다리이엔티,2016/02/11,한국,"516,736,500",판타지,전체관람가,정현진
우리 선희,홍상수,"(주)영화제작전원사 ,(주)영화사 조제",2013/09/12,한국,"530,265,400",드라마,청소년관람불가,정유미
4교시 추리영역,이상용,롯데쇼핑㈜롯데엔터테인먼트,2009/08/12,한국,"464,636,012",공포(호러),15세이상관람가,유승호
닥터,"김성홍,김유정,배현지",(주)마인스 엔터테인먼트,2013/06/20,한국,"495,574,500",스릴러,청소년관람불가,0
당신이 잠든 사이에,김정민,(주)엠플러스픽쳐스,2008/08/14,한국,"448,114,500",코미디,15세이상관람가,예지원
여곡성,유영선,(주)스마일이엔티,2018/11/08,한국,"594,373,400",공포(호러),15세이상관람가,서영희
주문진,하명중,롯데쇼핑㈜롯데엔터테인먼트,2010/01/21,한국,"378,219,576",드라마,12세이상관람가,황보라
Mr.아이돌,라희찬,"롯데쇼핑㈜롯데엔터테인먼트,(주)시너지하우스 (시너지)",2011/11/03,한국,"467,982,500",드라마,12세이상관람가,박예진
올레,채두병,"(주)대명문화공장,(주)리틀빅픽쳐스",2016/08/25,한국,"522,938,900",드라마,15세이상관람가,신하균
돌이킬 수 없는,박수영,㈜케이디미디어,2010/11/04,한국,"472,974,485",미스터리,15세이상관람가,이정진
"사랑한다, 사랑하지 않는다",이윤기,(주)넥스트엔터테인먼트월드(NEW),2011/03/03,한국,"498,314,500",멜로/로맨스,15세이상관람가,임수정
뷰티풀 투모로우,장재혁,씨제이 씨지브이(CJ CGV)(주),2017/10/26,한국,"552,273,700",드라마,12세이상관람가,박효신
경주,장률,(주)인벤트스톤,2014/06/12,한국,"468,260,500",드라마,15세이상관람가,박해일
1919 유관순,신상민,"주식회사 마운틴픽쳐스,케이티하이텔(주)",2019/03/14,한국,"505,650,410",다큐멘터리,12세이상관람가,이새봄
헤드,조운,(주)에스비에스콘텐츠허브,2011/05/26,한국,"462,025,000",액션,청소년관람불가,0
결정적 한방,박중구,(주)화앤담이엔티,2011/12/07,한국,"439,400,000",코미디,15세이상관람가,유동근
두 남자,이성태,씨네그루(주)키다리이엔티,2016/11/30,한국,"459,566,121",범죄,청소년관람불가,마동석
번개맨과 신비의 섬,김지열,"힘컨텐츠(주),(주)디스테이션",2018/04/05,한국,"481,474,700",가족,전체관람가,서홍석
흑심모녀,조남호,(주)쇼박스,2008/06/12,한국,"386,362,000",가족,12세이상관람가,심혜진
소공녀,전고운,CGV아트하우스,2018/03/22,한국,"469,303,200",멜로/로맨스,15세이상관람가,이솜
순종,"김동민,이주훈","(재)CBS,(주)영화사 안다미로",2016/11/17,한국,"414,028,200",다큐멘터리,전체관람가,0
사과,강이관,영화사청어람(주),2008/10/16,한국,"379,387,469",드라마,15세이상관람가,문소리
하하하,홍상수,(주)스폰지이엔티,2010/05/05,한국,"435,417,823",드라마,청소년관람불가,김상경
달빛 길어올리기,임권택,"(주)쇼박스,씨제이이앤엠(주),롯데쇼핑㈜롯데엔터테인먼트",2011/03/17,한국,"362,535,000",드라마,15세이상관람가,박중훈
밤의 해변에서 혼자,홍상수,"(주)영화제작전원사 ,(주)콘텐츠판다",2017/03/23,한국,"438,976,092",드라마,청소년관람불가,김민희
극장판 프랭키와 친구들: 생명의 나무,박정오,예지림엔터테인먼트,2016/04/13,한국,"410,518,600",애니메이션,전체관람가,이소은
